 t-Modal velocity.
 wavevector:          16 Branch:           1
 t_evo real  imag
   16.38000     -1.297524201703443E-011  1.391765610385604E-011
   16.39500     -1.680881839911605E-011 -8.236099108062549E-014
   16.41000     -9.898419181631042E-012 -1.533980855740270E-011
   16.42500      7.583854073649158E-012 -1.702817577063981E-011
   16.44000      1.587686040014936E-011 -7.788113330268892E-012
   16.45500      1.095992378766556E-011  1.166776512149870E-011
   16.47000     -1.519374838961562E-012  1.702802916898821E-011
   16.48500     -9.670516445002452E-012  1.009326513567016E-011
   16.50000     -1.503960858338426E-011 -7.478962048388200E-012
   16.51500     -5.697712978987056E-012 -1.757495225251340E-011
   16.53000      1.039294673030747E-011 -7.950221288917739E-012
   16.54500      1.110631274952335E-011  4.316243926356045E-012
   16.56000      4.597415752803703E-012  9.361142583675218E-012
   16.57500     -1.387660739566686E-012  1.169409020102770E-011
   16.59000     -7.347009797530346E-012  3.060394624917941E-012
   16.60500     -9.046866170966039E-012 -6.857834160322938E-012
   16.62000      1.493057157658819E-014 -1.005166046847365E-011
   16.63500      8.215485923704864E-012 -3.512590479247010E-012
   16.65000      7.897312901229145E-012  1.578229146969026E-012
   16.66500      3.731669172406758E-012  6.749635237460940E-012
   16.68000     -5.138178799666522E-012  7.959211215423055E-012
   16.69500     -1.303519276085145E-011  4.419152275625167E-012
   16.71000     -9.600606625854187E-012 -4.789462767595186E-012
